thread_num,thread_label_id
126856,8
132415,8
134482,8
133728,1
134270,8
134151,4
134140,3
134121,8
133676,9
129509,2
133901,4
130747,8
130600,1
133427,8
125287,2
128261,8
130610,8
127764,11
125058,4
127940,8
126947,4
124597,8
127942,8
128096,8
126082,1
119565,8
126357,8
124340,2
124713,8
124335,4
124225,4
125236,8
108862,8
124624,8
122827,1
124271,8
123460,1
122540,2
120520,1
121057,3
120310,8
119678,9
119041,2
117173,4
119154,8
117744,3
117205,2
118107,8
118116,8
117192,8
115758,3
115529,10
115600,1
113809,8
110920,8
114444,2
113813,11
113368,9
113334,4
114175,8
110494,1
106624,8
112192,8
103314,8
108236,1
106934,4
104763,8
105022,1
105550,8
103070,3
101298,0
102408,1
103114,8
99162,8
98843,8
100355,4
98886,3
99587,2
98714,1
97189,9
99921,8
89865,8
99193,0
97468,3
96665,4
96868,8
97045,1
98055,8
97117,8
96977,3
95082,3
92846,8
94890,1
93940,2
94692,8
95709,8
93649,11
93126,1
94842,8
92881,3
91413,4
91240,1
89396,1
92811,8
92135,8
92017,8
131512,10
123832,6
112233,6
111041,4
106608,8
110262,8
106647,8
104547,4
97011,8
92878,12
89665,10
117245,3
134925,8
144075,8
172127,8
171844,8
136990,8
171530,2
170311,8
170712,8
170233,2
168550,2
165048,8
167866,4
163675,8
163859,4
164260,2
163788,1
163840,8
162673,2
163035,8
163303,8
162606,8
162468,9
161267,8
159788,1
155932,0
161128,4
161091,8
159786,1
160549,8
157243,8
158686,8
159133,4
156890,2
157780,4
156239,1
155855,4
156862,8
155426,2
145144,4
156696,8
156467,8
156225,8
155155,4
155483,1
154698,2
153956,2
153148,8
154784,8
154394,8
153798,11
153944,8
153264,8
153468,1
153969,8
153327,3
153153,8
150970,1
152454,2
151207,2
151847,1
153031,8
152897,1
150126,8
152823,8
141863,8
149600,8
150728,3
149482,8
149777,1
149894,8
149476,4
149601,8
148620,1
148604,3
147607,9
147634,1
145955,2
147264,3
145415,1
145125,8
142461,1
144759,11
144554,1
142803,2
140896,2
142805,8
140835,1
139933,1
139724,8
139254,2
137283,2
139993,8
138613,1
137990,11
138567,8
135628,2
138309,1
138660,8
138619,8
138311,8
137849,1
137322,1
138263,8
136618,4
136649,1
136304,3
167537,10
164885,8
161581,3
156180,12
156520,8
150876,10
150526,12
147956,12
137539,6
138215,8
139118,2
137698,8
